	Control Con_rep1	Control Con_rep2	Control Con_rep3	Control Con_rep4	Control Con_rep5	Control Con_rep6	Control Con_rep7	Control Con_rep8	Control Con_rep9	Control Con_rep10	Control Con_rep11	Control Con_rep12	Control Con_rep13	Control Con_rep14	Control Con_rep15	Control Con_rep16	Control Con_rep17	Control Con_rep18	Control Con_rep19	Control Con_rep20	Control Con_rep21	Control Con_rep22	Control Con_rep23	Control Con_rep24	Control Con_rep25	Control Con_rep26	Control Con_rep27
1007_s_at	579.2152195	248.1099547	304.6612947	391.9067377	298.1488172	434.3794704	450.8156103	1072.114897	426.6503585	198.8743798	605.925039	427.442969	805.823127	752.0684159	981.8251538	650.7379853	190.9393411	271.4587392	507.5706312	313.0356094	356.9028763	622.9158047	784.0359132	1034.972235	830.2955794	680.9624588	662.5667971
1053_at	105.3198758	95.98439137	101.0021069	97.87416689	99.90272056	91.15419621	108.8444361	127.7994951	119.8529522	82.15091557	111.0466028	105.5315957	129.978476	106.3323605	146.9195865	132.5973031	93.53526873	115.1866313	96.60661026	99.38721116	100.8795014	105.1097861	101.6522057	122.214623	88.74018883	84.28846263	92.25995176
117_at	88.92713269	140.1273259	114.2662704	77.66830745	78.34842071	177.0806667	82.54548094	73.45213477	98.72700124	90.64207588	395.7877187	61.34327448	78.13303981	74.11670454	79.19455014	89.23184902	88.69694578	206.8585671	71.29542691	121.4659543	108.7962984	107.141941	88.68554344	76.93749731	109.513918	66.50862233	70.03261004
121_at	132.984628	170.1969943	222.8263881	194.7566476	179.6489319	182.3252039	192.1985799	154.0443026	167.7558168	205.598589	164.5880525	131.7358432	165.5428254	120.0283783	114.9812342	105.2039173	169.0237464	171.9226366	137.4641527	145.4079099	211.1485762	308.9490545	267.4734269	225.3007831	370.2180237	372.009988	242.5183125
1294_at	183.7613535	184.9616757	169.3972094	173.1041994	178.0328033	187.5317257	193.613954	205.0626941	184.6056925	211.8202413	180.6960545	183.7892344	184.0180798	204.7168092	241.4532433	240.8249747	217.0506976	229.5363046	189.1250729	157.6447757	299.8076018	128.4369791	136.994407	184.9956788	182.8817085	138.5651051	152.5569204
1405_i_at	78.76311847	190.3507285	119.7571697	72.52420159	93.30681854	167.8808976	65.48544558	264.3294758	137.7126105	111.8508498	125.0438332	101.9303395	118.9017729	191.2389271	308.3685984	342.3746607	168.3171378	84.88743268	80.91871804	60.66536455	41.85208607	73.67122639	44.84959412	117.0525905	132.2255542	49.54164012	83.21811986
1438_at	67.8204902	49.01405185	62.52269669	64.43153855	68.44802588	33.98396791	62.23797073	301.386066	67.12524274	37.35338406	108.9389819	31.54776552	103.358744	94.30621697	234.8862823	172.4944253	50.43671097	39.88946943	80.39645664	30.88929449	35.69078884	94.01362438	136.9578324	129.8445355	200.9310526	191.4653777	50.78477347
1487_at	126.212842	145.7966857	124.0169301	162.3733985	145.6166843	156.4333796	154.753965	163.0902076	147.9479035	162.7409131	140.6568431	125.4040493	109.9608139	135.7704511	144.3698102	152.3524329	153.4600432	190.0277988	138.7213191	140.3659656	139.4429224	119.479019	127.3346367	124.1055727	146.5153338	140.9444405	130.9410312
1552256_a_at	363.6305962	338.978466	410.4724112	409.2916905	432.6892243	867.2373533	465.9732362	279.290686	793.2629489	238.4330029	496.1286332	445.7337968	251.457921	307.9370592	429.3808382	504.7643859	760.072572	625.320881	456.293319	505.3378128	430.6994831	284.0528687	225.3113735	167.6104686	276.9396809	271.5277957	248.4661345
1552257_a_at	164.8550233	183.0451808	141.0685905	164.3255785	178.6537067	219.5301902	208.1916304	271.0402518	174.6955781	164.1783343	198.2857159	156.0371759	166.5991941	234.9727585	232.7773232	193.9957343	137.8750425	211.007153	198.0958454	158.1427709	172.8098176	139.1630703	189.0964183	136.4860498	209.7339323	179.461951	183.5474366

